,machine,work,volume
0,ДУОМАТИК 09-32 GSM,Работа ДУОМАТИК,2500.0
1,ДУОМАТИК 09-32 GSM,Работа ДУОМАТИК,2000.0
2,МПТ-4,Работа мотовоза,3.0
3,МПТ-4,Уборка МВСП,108.0
4,МПТ-4,Уборка МВСП,5.0
5,ДУОМАТИК 09-32 GSM,"Работа комплекса машин (ДУОМАТИК, ПМА, УНИМАТ, ДИНАМИК)",2000.0
6,МПТ-4,Уборка МВСП,6.0
7,МПТ-6.4,Уборка МВСП,2.0
8,МПТ-4,Работа мотовоза,8.0
9,МПТ-4,Работа мотовоза,10.0
10,1АДМ-1.3,Ввод в работу контактного провода,400.0
11,МПТ-4,Работа мотовоза,3.0
12,Унимат 08-275/3S,Работа УНИМАТ,1.0
13,Унимат 08-275/3S,Работа УНИМАТ,1.0
14,Унимат 08-275/3S,Работа УНИМАТ,1.0
15,Унимат 08-275/3S,Работа УНИМАТ,1.0
16,Унимат 08-275/3S,Работа УНИМАТ,1.0
17,Унимат 08-275/3S,Работа УНИМАТ,1.0
18,МПТ-6.4,Уборка МВСП,90.0
19,АСГ-30П,Уборка МВСП,10.0
20,МПТ-4,Работа мотовоза,3.0
21,МПТ-4,Уборка МВСП,2.0
22,Унимат 08-275/3S,Работа УНИМАТ,2.0
23,Унимат 08-275/3S,Работа УНИМАТ,1.0
24,МПТ-4,Работа мотовоза,3.0
25,МПТ-4,Уборка МВСП,3.0
26,МПТ-4,Уборка МВСП,3.0
27,МПТ-4,Уборка МВСП,5.0
28,МПТ-4,Уборка МВСП,5.0
29,МПТ-4,Уборка МВСП,5.0
30,АСГ-30П,Уборка МВСП,4.0
31,МПТ-4,Уборка МВСП,16.0
32,МПТ-6.4,Уборка МВСП,13.0
33,МПТ-6.4,Уборка МВСП,13.0
34,МПТ-4,Уборка МВСП,40.0
35,МПТ-4,Работа мотовоза,8.0
36,МПТ-6.4,Уборка МВСП,20.0
37,МПТ-4,Уборка МВСП,8.0
38,СС-1М,Работа СТРУГ,4000.0
39,АДМ,Демонтаж опор,1.0
40,МПТ-4,Уборка МВСП,8.0
41,МПТ-4,Уборка МВСП,10.0
42,МПТ-4,Уборка МВСП,10.0
43,МПТ-4,Уборка МВСП,20.0
44,МПТ-4,Уборка МВСП,20.0
45,МПТ-6.4,Уборка МВСП,5.0
46,АСГ-30П,Работа мотовоза,1.0
47,МПТ-4,Уборка МВСП,50.0
48,МПТ-4,Уборка МВСП,50.0
49,МПТ-4,Уборка МВСП,50.0
50,МПТ-4,Уборка МВСП,1.0
51,ДУОМАТИК 09-32 GSM,Работа ДУОМАТИК,700.0
52,МПТ-6.4,Уборка МВСП,8.0
53,МПТ-6.4,Уборка МВСП,8.0
54,АДМ-1.3,Установка опор,1.0
55,МПТ-6.4,Уборка МВСП,8.0
56,МПТ-4,Уборка МВСП,15.0
57,МПТ-4,Уборка МВСП,15.0
58,МПТ-4,Уборка МВСП,8.0
59,МПТ-4,Уборка МВСП,1.0
60,АДМ-1,Перевод к/с на новую опору,1.0
61,МПТ-6.4,Уборка МВСП,10.0
62,МПТ-4,Работа мотовоза,2.0
63,МПТ-4,Работа мотовоза,3.0
64,МПТ-4,Уборка МВСП,20.0
65,МПТ-6.4,Уборка МВСП,10.0
66,МПТ-6.4,Уборка МВСП,10.0
67,ДУОМАТИК 09-32 GSM,Работа ДУОМАТИК,400.0
68,ДСП-С4,Работа ДСП,400.0
69,МПТ-4,Работа мотовоза,3.5
70,Унимат 08-275/3S,Работа УНИМАТ,1.0
71,Унимат 08-275/3S,Работа УНИМАТ,1.0
72,Унимат 08-275/3S,Работа УНИМАТ,1.0
73,Унимат 08-275/3S,Работа УНИМАТ,1.0
74,МПТ-4,Уборка МВСП,10.0
75,МПТ-6.4,Уборка МВСП,10.0
76,МПТ-4,Работа мотовоза,2.0
77,МПТ-4,Работа мотовоза,2.0
78,МПТ-4,Работа мотовоза,2.0
79,ДУОМАТИК 09-32 GSM,Работа ДУОМАТИК,2000.0
80,МПТ-4,Уборка МВСП,5.0
81,МПТ-4,Уборка МВСП,10.0
82,УПК,Сбор рельсов,15.0
83,МПТ-6.4,Уборка МВСП,10.0
84,МПТ-4,Работа мотовоза,3.0
85,МПТ-6.4,Уборка МВСП,10.0
86,ДСП-С4,Работа ДСП,4000.0
87,ДУОМАТИК 09-32 GSM,Работа ДУОМАТИК,2000.0
88,РПБ-01,Работа РПБ,4000.0
